pc4;woonplaatscode;woonplaatsnaam;gemeentecode;gemeentenaam;provinciecode;provincienaam;veiligheidsregio;politie-eenheid;omgevingsdienst;drinkwater;netbeheer
7005;3246;Doetinchem;0222;Doetinchem;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Achterhoek;Vitens;Liander
7006;3246;Doetinchem;0222;Doetinchem;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Achterhoek;Vitens;Liander
7007;3246;Doetinchem;0222;Doetinchem;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Achterhoek;Vitens;Liander
7008;3246;Doetinchem;0222;Doetinchem;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Achterhoek;Vitens;Liander
7009;3246;Doetinchem;0222;Doetinchem;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Achterhoek;Vitens;Liander
5157;3514;Doeveren;0797;Heusden;30;Noord-Brabant;Brabant-Noord;Oost-Brabant;Omgevingsdienst Brabant Noord;BrabantWater;Enexis
5256;3514;Doeveren;0797;Heusden;30;Noord-Brabant;Brabant-Noord;Oost-Brabant;Omgevingsdienst Brabant Noord;BrabantWater;Enexis
9863;2174;Doezum;0015;Grootegast;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen;Groningen;Enexis
9101;3391;Dokkum;0058;Dongeradeel;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
9102;3391;Dokkum;0058;Dongeradeel;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
9103;3391;Dokkum;0058;Dongeradeel;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
8386;3109;Doldersum;1701;Westerveld;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;Vitens;Enexis
4357;2776;Domburg;0717;Veere;29;Zeeland;Zeeland;Zeeland - West-Brabant;RUD Zeeland;;Enduris
9497;2916;Donderen;1730;Tynaarlo;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
5101;2799;Dongen;0766;Dongen;30;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Omgevingsdienst Midden- en West-Brabant;BrabantWater;Enexis
5102;2799;Dongen;0766;Dongen;30;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Omgevingsdienst Midden- en West-Brabant;BrabantWater;Enexis
5103;2799;Dongen;0766;Dongen;30;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Omgevingsdienst Midden- en West-Brabant;BrabantWater;Enexis
5104;2799;Dongen;0766;Dongen;30;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Omgevingsdienst Midden- en West-Brabant;BrabantWater;Enexis
5105;2799;Dongen;0766;Dongen;30;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Omgevingsdienst Midden- en West-Brabant;BrabantWater;Enexis
5106;2799;Dongen;0766;Dongen;30;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Omgevingsdienst Midden- en West-Brabant;BrabantWater;Enexis
5107;2799;Dongen;0766;Dongen;30;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Omgevingsdienst Midden- en West-Brabant;BrabantWater;Enexis
8808;1372;Dongjum;1949;Waadhoeke;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
8516;2488;Doniaga;1940;De Fryske Marren;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
8435;1754;Donkerbroek;0085;Ooststellingwerf;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
3941;3339;Doorn;1581;Utrechtse Heuvelrug;26;Utrecht;Utrecht;Midden-Nederland;Omgevingsdienst Regio Utrecht;Vitens;Stedin
6686;3134;Doornenburg;1705;Lingewaard;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst Regio Arnhem;Vitens;Liander
8085;1846;Doornspijk;0230;Elburg;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Noord-Veluwe;Vitens;Liander
6865;2986;Doorwerth;0274;Renkum;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst Regio Arnhem;Vitens;Liander
3311;2351;Dordrecht;0505;Dordrecht;28;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Omgevingsdienst Zuid-Holland Zuid;Evides;Stedin
3312;2351;Dordrecht;0505;Dordrecht;28;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Omgevingsdienst Zuid-Holland Zuid;Evides;Stedin
3313;2351;Dordrecht;0505;Dordrecht;28;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Omgevingsdienst Zuid-Holland Zuid;Evides;Stedin
3314;2351;Dordrecht;0505;Dordrecht;28;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Omgevingsdienst Zuid-Holland Zuid;Evides;Stedin
3315;2351;Dordrecht;0505;Dordrecht;28;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Omgevingsdienst Zuid-Holland Zuid;Evides;Stedin
3316;2351;Dordrecht;0505;Dordrecht;28;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Omgevingsdienst Zuid-Holland Zuid;Evides;Stedin
3317;2351;Dordrecht;0505;Dordrecht;28;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Omgevingsdienst Zuid-Holland Zuid;Evides;Stedin
3318;2351;Dordrecht;0505;Dordrecht;28;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Omgevingsdienst Zuid-Holland Zuid;Evides;Stedin
3319;2351;Dordrecht;0505;Dordrecht;28;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Omgevingsdienst Zuid-Holland Zuid;Evides;Stedin
3328;2351;Dordrecht;0505;Dordrecht;28;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Omgevingsdienst Zuid-Holland Zuid;Evides;Stedin
3329;2351;Dordrecht;0505;Dordrecht;28;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Omgevingsdienst Zuid-Holland Zuid;Evides;Stedin
4849;2959;Dorst;0826;Oosterhout;30;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Omgevingsdienst Midden- en West-Brabant;BrabantWater;Enexis
9201;3279;Drachten;0090;Smallingerland;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
9202;3279;Drachten;0090;Smallingerland;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
9203;3279;Drachten;0090;Smallingerland;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
9204;3279;Drachten;0090;Smallingerland;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
9205;3279;Drachten;0090;Smallingerland;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
9206;3279;Drachten;0090;Smallingerland;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
9207;3279;Drachten;0090;Smallingerland;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
9207;3344;Drachten-Azeven;0086;Opsterland;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
9222;3280;Drachtstercompagnie;0090;Smallingerland;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
4315;2677;Dreischor;1676;Schouwen-Duiveland;29;Zeeland;Zeeland;Zeeland - West-Brabant;RUD Zeeland;Evides;Enduris
6996;1520;Drempt;1876;Bronckhorst;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Achterhoek;Vitens;Liander
6621;1771;Dreumel;0668;West Maas en Waal;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Rivierenland;Vitens;Liander
3971;3335;Driebergen-Rijsenburg;1581;Utrechtse Heuvelrug;26;Utrecht;Utrecht;Midden-Nederland;Omgevingsdienst Regio Utrecht;Vitens;Stedin
3972;3335;Driebergen-Rijsenburg;1581;Utrechtse Heuvelrug;26;Utrecht;Utrecht;Midden-Nederland;Omgevingsdienst Regio Utrecht;Vitens;Stedin
