wplcode;Woonplaatsnaam;gemcode;Gemeentenaam;Provinciecode;Provincienaam;Veiligheidsregio;Politie-eenheid;Omgevingsdienst
1231;Mechelen;1729;Gulpen-Wittem;31;Limburg;Zuid-Limburg;Limburg;RUD Zuid-Limburg
3151;Medemblik;0420;Medemblik;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord
2277;Meeden;1952;Midden-Groningen;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
3240;Meedhuizen;0010;Delfzijl;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
2108;Meerkerk;0707;Zederik;28;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Omgevingsdienst Zuid-Holland Zuid
1858;Meerlo;1507;Horst aan de Maas;31;Limburg;Limburg-Noord;Limburg;RUD Limburg-Noord
1463;Meerssen;0938;Meerssen;31;Limburg;Zuid-Limburg;Limburg;RUD Zuid-Limburg
3488;Meerstad;0014;Groningen;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
1955;Meeuwen;0738;Aalburg;30;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Omgevingsdienst Midden- en West-Brabant
1584;Megchelen;1509;Oude IJsselstreek;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Achterhoek
3251;Megen;0828;Oss;30;Noord-Brabant;Brabant-Noord;Oost-Brabant;Omgevingsdienst Brabant Noord
2140;Meijel;1894;Peel en Maas;31;Limburg;Limburg-Noord;Limburg;RUD Limburg-Noord
1034;Melderslo;1507;Horst aan de Maas;31;Limburg;Limburg-Noord;Limburg;RUD Limburg-Noord
2591;Melick;1669;Roerdalen;31;Limburg;Limburg-Noord;Limburg;RUD Limburg-Noord
2780;Meliskerke;0717;Veere;29;Zeeland;Zeeland;Zeeland - West-Brabant;RUD Zeeland
2379;Melissant;1924;Goeree-Overflakkee;28;Zuid-Holland;Rotterdam-Rijnmond;Rotterdam;Milieudienst DCMR
2731;Menaam;1949;Waadhoeke;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
3421;Mensingeweer;1663;De Marne;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
1082;Meppel;0119;Meppel;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
2157;Meppen;0109;Coevorden;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
2847;Merkelbeek;0881;Onderbanken;31;Limburg;Zuid-Limburg;Limburg;RUD Zuid-Limburg
2331;Merselo;0984;Venray;31;Limburg;Limburg-Noord;Limburg;RUD Limburg-Noord
3530;Meteren;0236;Geldermalsen;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Rivierenland
1035;Meterik;1507;Horst aan de Maas;31;Limburg;Limburg-Noord;Limburg;RUD Limburg-Noord
3402;Metslawier;0058;Dongeradeel;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
1695;Mheer;1903;Eijsden-Margraten;31;Limburg;Zuid-Limburg;Limburg;RUD Zuid-Limburg
2801;Middelaar;0944;Mook en Middelaar;31;Limburg;Limburg-Noord;Limburg;RUD Limburg-Noord
1007;Middelburg;0687;Middelburg;29;Zeeland;Zeeland;Zeeland - West-Brabant;RUD Zeeland
3143;Middelharnis;1924;Goeree-Overflakkee;28;Zuid-Holland;Rotterdam-Rijnmond;Rotterdam;Milieudienst DCMR
1840;Middelie;0385;Edam-Volendam;27;Noord-Holland;Zaanstreek-Waterland;Noord-Holland;Omgevingsdienst IJmond
3450;Middelstum;0024;Loppersum;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
2170;Middenbeemster;0370;Beemster;27;Noord-Holland;Zaanstreek-Waterland;Noord-Holland;Omgevingsdienst IJmond
2434;Middenmeer;1911;Hollands Kroon;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord
2926;Midlaren;1730;Tynaarlo;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
2892;Midlum;0072;Harlingen;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
2619;Midsland;0093;Terschelling;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
1897;Midwolda;1895;Oldambt;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
2343;Midwolde;0022;Leek;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
3152;Midwoud;0420;Medemblik;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord
1199;Miedum;0080;Leeuwarden;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
1127;Mierlo;1771;Geldrop-Mierlo;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant
3549;Mijdrecht;0736;De Ronde Venen;26;Utrecht;Utrecht;Midden-Nederland;Omgevingsdienst Regio Utrecht
2383;Mijnsheerenland;0585;Binnenmaas;28;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Omgevingsdienst Zuid-Holland Zuid
2191;Mildam;0074;Heerenveen;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
2091;Milheeze;1652;Gemert-Bakel;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant
1976;Mill;0815;Mill en Sint Hubert;30;Noord-Brabant;Brabant-Noord;Oost-Brabant;Omgevingsdienst Brabant Noord
2289;Millingen aan de Rijn;1945;Berg en Dal;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Regio Nijmegen
2479;Milsbeek;0907;Gennep;31;Limburg;Limburg-Noord;Limburg;RUD Limburg-Noord
3333;Minnertsga;1949;Waadhoeke;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
1678;Mirns;1940;De Fryske Marren;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
3403;Moddergat;0058;Dongeradeel;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
1322;Moerdijk;1709;Moerdijk;30;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Omgevingsdienst Midden- en West-Brabant
2647;Moergestel;0824;Oisterwijk;30;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Omgevingsdienst Midden- en West-Brabant
1212;Moerkapelle;1892;Zuidplas;28;Zuid-Holland;Hollands Midden;Den Haag;Omgevingsdienst Midden-Holland
1593;Moerstraten;1674;Roosendaal;30;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Omgevingsdienst Midden- en West-Brabant
1983;Molenaarsgraaf;1927;Molenwaard;28;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Omgevingsdienst Zuid-Holland Zuid
2802;Molenhoek;0944;Mook en Middelaar;31;Limburg;Limburg-Noord;Limburg;RUD Limburg-Noord
2069;Molenschot;0784;Gilze en Rijen;30;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Omgevingsdienst Midden- en West-Brabant
1967;Molkwerum;1900;Súdwest-Fryslân;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
1944;Monnickendam;0852;Waterland;27;Noord-Holland;Zaanstreek-Waterland;Noord-Holland;Omgevingsdienst IJmond
2659;Monster;1783;Westland;28;Zuid-Holland;Haaglanden;Den Haag;Omgevingsdienst Haaglanden
1964;Montfoort;0335;Montfoort;26;Utrecht;Utrecht;Midden-Nederland;Omgevingsdienst Regio Utrecht
2592;Montfort;1669;Roerdalen;31;Limburg;Limburg-Noord;Limburg;RUD Limburg-Noord
2803;Mook;0944;Mook en Middelaar;31;Limburg;Limburg-Noord;Limburg;RUD Limburg-Noord
2796;Mookhoek;0617;Strijen;28;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Omgevingsdienst Zuid-Holland Zuid
1244;Moordrecht;1892;Zuidplas;28;Zuid-Holland;Hollands Midden;Den Haag;Omgevingsdienst Midden-Holland
1464;Moorveld;0938;Meerssen;31;Limburg;Zuid-Limburg;Limburg;RUD Zuid-Limburg
3404;Morra;0058;Dongeradeel;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
3632;Muiden;1942;Gooise Meren;27;Noord-Holland;Gooi en Vechtstreek;Midden-Nederland;Omgevingsdienst Flevoland en Gooi & Vechtstreek
1519;Muiderberg;1942;Gooise Meren;27;Noord-Holland;Gooi en Vechtstreek;Midden-Nederland;Omgevingsdienst Flevoland en Gooi & Vechtstreek
2446;Mûnein;0737;Tytsjerksteradiel;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
1725;Munnekeburen;0098;Weststellingwerf;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
3312;Munnekezijl;0079;Kollumerland en Nieuwkruisland;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
2816;Munstergeleen;1883;Sittard-Geleen;31;Limburg;Zuid-Limburg;Limburg;RUD Zuid-Limburg
2278;Muntendam;1952;Midden-Groningen;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
3077;Mussel;0037;Stadskanaal;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
3075;Musselkanaal;0037;Stadskanaal;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
2660;Naaldwijk;1783;Westland;28;Zuid-Holland;Haaglanden;Den Haag;Omgevingsdienst Haaglanden
1052;Naarden;1942;Gooise Meren;27;Noord-Holland;Gooi en Vechtstreek;Midden-Nederland;Omgevingsdienst Flevoland en Gooi & Vechtstreek
1278;Nagele;0171;Noordoostpolder;24;Flevoland;Flevoland;Midden-Nederland;Omgevingsdienst Flevoland en Gooi & Vechtstreek
3497;Nederasselt;0252;Heumen;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Regio Nijmegen
2633;Nederhemert;0297;Zaltbommel;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Rivierenland
3003;Nederhorst den Berg;1696;Wijdemeren;27;Noord-Holland;Gooi en Vechtstreek;Midden-Nederland;Omgevingsdienst Flevoland en Gooi & Vechtstreek
2706;Nederland;1708;Steenwijkerland;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland
2037;Nederweert;0946;Nederweert;31;Limburg;Limburg-Noord;Limburg;RUD Limburg-Noord
2039;Nederweert-Eind;0946;Nederweert;31;Limburg;Limburg-Noord;Limburg;RUD Limburg-Noord
1656;Neede;1859;Berkelland;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Achterhoek
2952;Neer;1640;Leudal;31;Limburg;Limburg-Noord;Limburg;RUD Limburg-Noord
3363;Neerijnen;0304;Neerijnen;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Rivierenland
2953;Neeritter;1640;Leudal;31;Limburg;Limburg-Noord;Limburg;RUD Limburg-Noord
1777;Neerkant;0762;Deurne;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant
3261;Neerlangel;0828;Oss;30;Noord-Brabant;Brabant-Noord;Oost-Brabant;Omgevingsdienst Brabant Noord
3262;Neerloon;0828;Oss;30;Noord-Brabant;Brabant-Noord;Oost-Brabant;Omgevingsdienst Brabant Noord
2588;Nes;0060;Ameland;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
3405;Nes;0058;Dongeradeel;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
3603;Nes;0074;Heerenveen;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
1068;Netersel;1728;Bladel;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant
1583;Netterden;1509;Oude IJsselstreek;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Achterhoek
3406;Niawier;0058;Dongeradeel;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
3153;Nibbixwoud;0420;Medemblik;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord
2264;Niebert;0025;Marum;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
2121;Niehove;0056;Zuidhorn;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
3422;Niekerk;1663;De Marne;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
2178;Niekerk;0015;Grootegast;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
1642;Nietap;1699;Noordenveld;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
1171;Nieuw Annerveen;1680;Aa en Hunze;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
1421;Nieuw Beerta;1895;Oldambt;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
1009;Nieuw- en Sint Joosland;0687;Middelburg;29;Zeeland;Zeeland;Zeeland - West-Brabant;RUD Zeeland
1499;Nieuw Heeten;0177;Raalte;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland
3093;Nieuw Namen;0677;Hulst;29;Zeeland;Zeeland;Zeeland - West-Brabant;RUD Zeeland
1894;Nieuw Scheemda;1895;Oldambt;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
2634;Nieuwaal;0297;Zaltbommel;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Rivierenland
1993;Nieuw-Amsterdam;0114;Emmen;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
3018;Nieuw-Balinge;1731;Midden-Drenthe;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
2887;Nieuw-Beijerland;0588;Korendijk;28;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Omgevingsdienst Zuid-Holland Zuid
1797;Nieuw-Buinen;1681;Borger-Odoorn;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
1994;Nieuw-Dordrecht;0114;Emmen;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
1259;Nieuwdorp;0654;Borsele;29;Zeeland;Zeeland;Zeeland - West-Brabant;RUD Zeeland
2518;Nieuwe Niedorp;1911;Hollands Kroon;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord
1398;Nieuwe Pekela;0765;Pekela;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
3037;Nieuwe Wetering;1884;Kaag en Braassem;28;Zuid-Holland;Hollands Midden;Den Haag;Omgevingsdienst West-Holland
2496;Nieuwebrug;0074;Heerenveen;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
1172;Nieuwediep;1680;Aa en Hunze;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
1108;Nieuwegein;0356;Nieuwegein;26;Utrecht;Utrecht;Midden-Nederland;RUD Utrecht
2194;Nieuwehorne;0074;Heerenveen;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
2216;Nieuwendijk;0870;Werkendam;30;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Omgevingsdienst Midden- en West-Brabant
1394;Nieuwer Ter Aa;1904;Stichtse Vecht;26;Utrecht;Utrecht;Midden-Nederland;Omgevingsdienst Regio Utrecht
2666;Nieuwerbrug aan den Rijn;1901;Bodegraven-Reeuwijk;28;Zuid-Holland;Hollands Midden;Den Haag;Omgevingsdienst Midden-Holland
2680;Nieuwerkerk;1676;Schouwen-Duiveland;29;Zeeland;Zeeland;Zeeland - West-Brabant;RUD Zeeland
1016;Nieuwerkerk aan den IJssel;1892;Zuidplas;28;Zuid-Holland;Hollands Midden;Den Haag;Omgevingsdienst Midden-Holland
1815;Nieuweroord;0118;Hoogeveen;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
3017;Nieuweroord;1731;Midden-Drenthe;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
2221;Nieuwersluis;1904;Stichtse Vecht;26;Utrecht;Utrecht;Midden-Nederland;Omgevingsdienst Regio Utrecht
2187;Nieuweschoot;0074;Heerenveen;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
3144;Nieuwe-Tonge;1924;Goeree-Overflakkee;28;Zuid-Holland;Rotterdam-Rijnmond;Rotterdam;Milieudienst DCMR
2667;Nieuwkoop;0569;Nieuwkoop;28;Zuid-Holland;Hollands Midden;Den Haag;Omgevingsdienst West-Holland
3502;Nieuwkuijk;0797;Heusden;30;Noord-Brabant;Brabant-Noord;Oost-Brabant;Omgevingsdienst Brabant Noord
2111;Nieuwland;0707;Zederik;28;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Omgevingsdienst Zuid-Holland Zuid
1816;Nieuwlande;0118;Hoogeveen;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
2158;Nieuwlande Coevorden;0109;Coevorden;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
2795;Nieuw-Lekkerland;1927;Molenwaard;28;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Omgevingsdienst Zuid-Holland Zuid
1239;Nieuwleusen;0148;Dalfsen;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland
1896;Nieuwolda;1895;Oldambt;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
1807;Nieuwpoort;1927;Molenwaard;28;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Omgevingsdienst Zuid-Holland Zuid
1643;Nieuw-Roden;1699;Noordenveld;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
1995;Nieuw-Schoonebeek;0114;Emmen;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
2047;Nieuwstadt;1711;Echt-Susteren;31;Limburg;Limburg-Noord;Limburg;RUD Limburg-Noord
2670;Nieuwveen;0569;Nieuwkoop;28;Zuid-Holland;Hollands Midden;Den Haag;Omgevingsdienst West-Holland
1602;Nieuw-Vennep;0394;Haarlemmermeer;27;Noord-Holland;Kennemerland;Noord-Holland;Omgevingsdienst Noordzeekanaalgebied
2969;Nieuwvliet;1714;Sluis;29;Zeeland;Zeeland;Zeeland - West-Brabant;RUD Zeeland
1404;Nieuw-Vossemeer;0851;Steenbergen;30;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Omgevingsdienst Midden- en West-Brabant
1996;Nieuw-Weerdinge;0114;Emmen;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
2122;Niezijl;0056;Zuidhorn;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
2569;Niftrik;0296;Wijchen;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Regio Nijmegen
2222;Nigtevecht;1904;Stichtse Vecht;26;Utrecht;Utrecht;Midden-Nederland;Omgevingsdienst Regio Utrecht
3330;Nij Altoenae;1949;Waadhoeke;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
3352;Nij Beets;0086;Opsterland;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
2607;Nijbroek;0285;Voorst;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Veluwe IJssel
1761;Nijeberkoop;0085;Ooststellingwerf;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
3284;Nijega;0090;Smallingerland;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
3521;Nijehaske;1940;De Fryske Marren;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
1726;Nijeholtpade;0098;Weststellingwerf;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
1727;Nijeholtwolde;0098;Weststellingwerf;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
1728;Nijelamer;0098;Weststellingwerf;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
1679;Nijemirdum;1940;De Fryske Marren;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
3116;Nijensleek;1701;Westerveld;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
1729;Nijetrijne;0098;Weststellingwerf;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
1083;Nijeveen;0119;Meppel;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
1972;Nijhuizum;1900;Súdwest-Fryslân;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
3606;Nijkerk;0267;Nijkerk;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst De Vallei
3607;Nijkerkerveen;0267;Nijkerk;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst De Vallei
2414;Nijland;1900;Súdwest-Fryslân;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
1173;Nijlande;1680;Aa en Hunze;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
3030;Nijmegen;0268;Nijmegen;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Regio Nijmegen
3584;Nijverdal;0163;Hellendoorn;23;Overijssel;Twente;Oost-Nederland;RUD Twente
1591;Nispen;1674;Roosendaal;30;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Omgevingsdienst Midden- en West-Brabant
1260;Nisse;0654;Borsele;29;Zeeland;Zeeland;Zeeland - West-Brabant;RUD Zeeland
3062;Nistelrode;1721;Bernheze;30;Noord-Brabant;Brabant-Noord;Oost-Brabant;Omgevingsdienst Brabant Noord
2450;Noardburgum;0737;Tytsjerksteradiel;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
1174;Nooitgedacht;1680;Aa en Hunze;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
1696;Noorbeek;1903;Eijsden-Margraten;31;Limburg;Zuid-Limburg;Limburg;RUD Zuid-Limburg
2171;Noordbeemster;0370;Beemster;27;Noord-Holland;Zaanstreek-Waterland;Noord-Holland;Omgevingsdienst IJmond
2279;Noordbroek;1952;Midden-Groningen;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
1905;Noordeinde;0361;Alkmaar;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord
3070;Noordeinde Gld;0269;Oldebroek;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Noord-Veluwe
1436;Noordeloos;0689;Giessenlanden;28;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Omgevingsdienst Zuid-Holland Zuid
2668;Noorden;0569;Nieuwkoop;28;Zuid-Holland;Hollands Midden;Den Haag;Omgevingsdienst West-Holland
2681;Noordgouwe;1676;Schouwen-Duiveland;29;Zeeland;Zeeland;Zeeland - West-Brabant;RUD Zeeland
1325;Noordhoek;1709;Moerdijk;30;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Omgevingsdienst Midden- en West-Brabant
2123;Noordhorn;0056;Zuidhorn;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
1268;Noordlaren;0017;Haren;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
1118;Noord-Scharwoude;0416;Langedijk;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord
1817;Noordscheschut;0118;Hoogeveen;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
2159;Noord-Sleen;0109;Coevorden;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
2682;Noordwelle;1676;Schouwen-Duiveland;29;Zeeland;Zeeland;Zeeland - West-Brabant;RUD Zeeland
2265;Noordwijk;0025;Marum;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
2061;Noordwijk;0575;Noordwijk;28;Zuid-Holland;Hollands Midden;Den Haag;Omgevingsdienst West-Holland
1927;Noordwijkerhout;0576;Noordwijkerhout;28;Zuid-Holland;Hollands Midden;Den Haag;Omgevingsdienst West-Holland
2830;Noordwolde;0005;Bedum;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
1730;Noordwolde;0098;Weststellingwerf;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
1142;Nootdorp;1926;Pijnacker-Nootdorp;28;Zuid-Holland;Haaglanden;Den Haag;Omgevingsdienst Haaglanden
1644;Norg;1699;Noordenveld;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
1090;Notter;0189;Wierden;23;Overijssel;Twente;Oost-Nederland;RUD Twente
2136;Nuenen;0820;Nuenen, Gerwen en Nederwetten;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant
2266;Nuis;0025;Marum;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
3611;Nuland;0796;'s-Hertogenbosch;30;Noord-Brabant;Brabant-Noord;Oost-Brabant;Omgevingsdienst Brabant Noord
2372;Numansdorp;0611;Cromstrijen;28;Zuid-Holland;Zuid-Holland-Zuid;Rotterdam;Omgevingsdienst Zuid-Holland Zuid
2954;Nunhem;1640;Leudal;31;Limburg;Limburg-Noord;Limburg;RUD Limburg-Noord
2982;Nunspeet;0302;Nunspeet;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Noord-Veluwe
2358;Nuth;0951;Nuth;31;Limburg;Zuid-Limburg;Limburg;RUD Zuid-Limburg
1411;Nutter;1774;Dinkelland;23;Overijssel;Twente;Oost-Nederland;RUD Twente
2817;Obbicht;1883;Sittard-Geleen;31;Limburg;Zuid-Limburg;Limburg;RUD Zuid-Limburg
1187;Obdam;1598;Koggenland;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord
1097;Ochten;1740;Neder-Betuwe;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Rivierenland
2604;Odijk;0312;Bunnik;26;Utrecht;Utrecht;Midden-Nederland;Omgevingsdienst Regio Utrecht
1849;Odiliapeel;0856;Uden;30;Noord-Brabant;Brabant-Noord;Oost-Brabant;Omgevingsdienst Brabant Noord
1798;Odoorn;1681;Borger-Odoorn;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
1799;Odoornerveen;1681;Borger-Odoorn;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
1219;Oeffelt;0756;Boxmeer;30;Noord-Brabant;Brabant-Noord;Oost-Brabant;Omgevingsdienst Brabant Noord
2744;Oegstgeest;0579;Oegstgeest;28;Zuid-Holland;Hollands Midden;Den Haag;Omgevingsdienst West-Holland
1347;Oene;0232;Epe;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Veluwe IJssel
